Source,Target,Type,Weight
22012at7147,51332at7147,Undirected,1
22012at7147,35225at7147,Undirected,1
22012at7147,17173at7147,Undirected,1
22012at7147,62531at7147,Undirected,3
22012at7147,52009at7147,Undirected,3
22012at7147,7573at7147,Undirected,93
22326at7147,16088at7147,Undirected,3
22326at7147,28377at7147,Undirected,8
22326at7147,22659at7147,Undirected,1
22326at7147,49833at7147,Undirected,1
22326at7147,31537at7147,Undirected,1
22326at7147,10797at7147,Undirected,1
22326at7147,18262at7147,Undirected,11
22326at7147,73041at7147,Undirected,29
22326at7147,762at7147,Undirected,5
22326at7147,37011at7147,Undirected,14
22326at7147,46752at7147,Undirected,1
22326at7147,9277at7147,Undirected,78
22326at7147,5223at7147,Undirected,4
22326at7147,62640at7147,Undirected,15
22326at7147,14162at7147,Undirected,1
22326at7147,53356at7147,Undirected,16
22326at7147,10213at7147,Undirected,3
42359at7147,28926at7147,Undirected,1
42359at7147,16972at7147,Undirected,90
42359at7147,3841at7147,Undirected,91
42359at7147,24094at7147,Undirected,1
42359at7147,48529at7147,Undirected,1
44288at7147,40880at7147,Undirected,6
44288at7147,35053at7147,Undirected,9
44288at7147,30128at7147,Undirected,1
44288at7147,61012at7147,Undirected,96
44288at7147,24137at7147,Undirected,3
44288at7147,67285at7147,Undirected,79
27655at7147,48749at7147,Undirected,15
27655at7147,51965at7147,Undirected,1
27655at7147,36741at7147,Undirected,27
27655at7147,61813at7147,Undirected,1
27655at7147,8245at7147,Undirected,2
27655at7147,64937at7147,Undirected,1
27655at7147,2768at7147,Undirected,1
27655at7147,52940at7147,Undirected,1
27655at7147,41742at7147,Undirected,42
27655at7147,62418at7147,Undirected,13
27655at7147,38982at7147,Undirected,3
27655at7147,59303at7147,Undirected,1
27655at7147,67729at7147,Undirected,73
27655at7147,18331at7147,Undirected,19
40820at7147,66519at7147,Undirected,9
40820at7147,68312at7147,Undirected,1
40820at7147,1142at7147,Undirected,1
40820at7147,65562at7147,Undirected,1
40820at7147,18875at7147,Undirected,12
40820at7147,55254at7147,Undirected,1
40820at7147,64137at7147,Undirected,2
40820at7147,8286at7147,Undirected,3
40820at7147,17094at7147,Undirected,1
40820at7147,53716at7147,Undirected,1
40820at7147,34293at7147,Undirected,1
40820at7147,8406at7147,Undirected,12
40820at7147,56900at7147,Undirected,1
40820at7147,15650at7147,Undirected,19
40820at7147,72149at7147,Undirected,68
40820at7147,2092at7147,Undirected,5
40820at7147,63091at7147,Undirected,6
40820at7147,54648at7147,Undirected,3
40820at7147,49153at7147,Undirected,2
40820at7147,38196at7147,Undirected,42
40820at7147,34516at7147,Undirected,1
57388at7147,39801at7147,Undirected,1
57388at7147,59338at7147,Undirected,4
57388at7147,58205at7147,Undirected,1
57388at7147,60518at7147,Undirected,57
57388at7147,46488at7147,Undirected,17
57388at7147,44003at7147,Undirected,6
57388at7147,34551at7147,Undirected,2
57388at7147,51767at7147,Undirected,9
57388at7147,17699at7147,Undirected,96
57388at7147,329at7147,Undirected,1
28226at7147,1388at7147,Undirected,1
28226at7147,5504at7147,Undirected,3
28226at7147,7403at7147,Undirected,2
28226at7147,24849at7147,Undirected,1
28226at7147,24329at7147,Undirected,30
28226at7147,26876at7147,Undirected,9
28226at7147,40078at7147,Undirected,2
28226at7147,40880at7147,Undirected,4
28226at7147,54244at7147,Undirected,25
28226at7147,15235at7147,Undirected,4
28226at7147,77688at7147,Undirected,2
28226at7147,28749at7147,Undirected,45
28226at7147,46902at7147,Undirected,31
28226at7147,30260at7147,Undirected,1
3707at7147,15010at7147,Undirected,37
3707at7147,28368at7147,Undirected,1
3707at7147,37118at7147,Undirected,1
3707at7147,14354at7147,Undirected,2
3707at7147,9148at7147,Undirected,1
3707at7147,67894at7147,Undirected,55
3707at7147,70842at7147,Undirected,1
3707at7147,3183at7147,Undirected,1
3707at7147,17197at7147,Undirected,1
3707at7147,4190at7147,Undirected,12
3707at7147,49790at7147,Undirected,4
3707at7147,20167at7147,Undirected,34
3707at7147,70683at7147,Undirected,1
3707at7147,27281at7147,Undirected,1
3707at7147,5394at7147,Undirected,36
29440at7147,64595at7147,Undirected,1
29440at7147,19959at7147,Undirected,12
29440at7147,64099at7147,Undirected,2
29440at7147,37759at7147,Undirected,1
29440at7147,76473at7147,Undirected,100
29440at7147,19060at7147,Undirected,83
29440at7147,57299at7147,Undirected,3
30510at7147,26419at7147,Undirected,94
30510at7147,67924at7147,Undirected,1
30510at7147,10352at7147,Undirected,13
30510at7147,40949at7147,Undirected,71
30510at7147,38112at7147,Undirected,7
30510at7147,16871at7147,Undirected,2
30510at7147,70302at7147,Undirected,1
30510at7147,51210at7147,Undirected,1
1190at7147,39504at7147,Undirected,65
1190at7147,22962at7147,Undirected,1
1190at7147,61331at7147,Undirected,1
1190at7147,18862at7147,Undirected,25
1190at7147,62774at7147,Undirected,9
1190at7147,59872at7147,Undirected,97
11183at7147,56896at7147,Undirected,79
11183at7147,42448at7147,Undirected,12
11183at7147,7326at7147,Undirected,91
11183at7147,12484at7147,Undirected,1
11183at7147,63868at7147,Undirected,1
11183at7147,58466at7147,Undirected,1
11183at7147,17467at7147,Undirected,1
13719at7147,67095at7147,Undirected,1
13719at7147,8713at7147,Undirected,2
13719at7147,72228at7147,Undirected,19
13719at7147,3841at7147,Undirected,19
13719at7147,23840at7147,Undirected,1
13719at7147,34864at7147,Undirected,58
13719at7147,7747at7147,Undirected,12
13719at7147,9447at7147,Undirected,40
13719at7147,37523at7147,Undirected,1
13719at7147,7616at7147,Undirected,40
13719at7147,42387at7147,Undirected,3
62890at7147,29352at7147,Undirected,9
62890at7147,50753at7147,Undirected,6
62890at7147,58630at7147,Undirected,2
62890at7147,33254at7147,Undirected,39
62890at7147,34460at7147,Undirected,2
62890at7147,51776at7147,Undirected,50
62890at7147,44741at7147,Undirected,90
5986at7147,55487at7147,Undirected,49
5986at7147,32079at7147,Undirected,16
5986at7147,40100at7147,Undirected,3
5986at7147,4451at7147,Undirected,1
5986at7147,72973at7147,Undirected,2
5986at7147,3716at7147,Undirected,18
5986at7147,61798at7147,Undirected,24
5986at7147,9337at7147,Undirected,2
5986at7147,71852at7147,Undirected,1
5986at7147,40701at7147,Undirected,6
5986at7147,15913at7147,Undirected,1
5986at7147,5264at7147,Undirected,18
5986at7147,57860at7147,Undirected,2
5986at7147,75869at7147,Undirected,2
5986at7147,44043at7147,Undirected,35
5986at7147,51339at7147,Undirected,1
5986at7147,23557at7147,Undirected,2
5986at7147,51516at7147,Undirected,2
5986at7147,65219at7147,Undirected,2
5986at7147,25649at7147,Undirected,1
5986at7147,8106at7147,Undirected,4
49968at7147,22422at7147,Undirected,3
49968at7147,55248at7147,Undirected,5
49968at7147,59733at7147,Undirected,2
49968at7147,16294at7147,Undirected,85
49968at7147,31237at7147,Undirected,3
49968at7147,9107at7147,Undirected,39
49968at7147,52389at7147,Undirected,27
49968at7147,7573at7147,Undirected,1
49968at7147,58360at7147,Undirected,11
49968at7147,56852at7147,Undirected,5
49968at7147,24373at7147,Undirected,9
49968at7147,35053at7147,Undirected,1
49968at7147,69279at7147,Undirected,1
56981at7147,1270at7147,Undirected,97
56981at7147,33935at7147,Undirected,1
56981at7147,62544at7147,Undirected,1
56981at7147,25505at7147,Undirected,97
40875at7147,16484at7147,Undirected,60
40875at7147,50053at7147,Undirected,9
40875at7147,30365at7147,Undirected,1
40875at7147,36896at7147,Undirected,4
40875at7147,35053at7147,Undirected,23
40875at7147,70164at7147,Undirected,91
27770at7147,40653at7147,Undirected,6
27770at7147,67421at7147,Undirected,18
27770at7147,9779at7147,Undirected,78
27770at7147,4796at7147,Undirected,90
39790at7147,20721at7147,Undirected,7
39790at7147,58470at7147,Undirected,1
39790at7147,8259at7147,Undirected,32
39790at7147,1789at7147,Undirected,1
39790at7147,56661at7147,Undirected,12
39790at7147,23771at7147,Undirected,54
39790at7147,33709at7147,Undirected,81
13511at7147,62268at7147,Undirected,1
13511at7147,14196at7147,Undirected,6
13511at7147,31731at7147,Undirected,3
13511at7147,68601at7147,Undirected,2
13511at7147,40273at7147,Undirected,12
13511at7147,13402at7147,Undirected,1
13511at7147,7870at7147,Undirected,1
13511at7147,6894at7147,Undirected,1
13511at7147,19915at7147,Undirected,1
13511at7147,43175at7147,Undirected,6
13511at7147,39903at7147,Undirected,18
13511at7147,7394at7147,Undirected,27
13511at7147,41740at7147,Undirected,9
13511at7147,15021at7147,Undirected,1
13511at7147,9705at7147,Undirected,74
13511at7147,18389at7147,Undirected,23
26748at7147,7616at7147,Undirected,51
26748at7147,2501at7147,Undirected,1
26748at7147,6332at7147,Undirected,1
26748at7147,49784at7147,Undirected,2
26748at7147,22307at7147,Undirected,1
26748at7147,39529at7147,Undirected,1
26748at7147,2918at7147,Undirected,1
26748at7147,71034at7147,Undirected,2
26748at7147,27388at7147,Undirected,1
26748at7147,56951at7147,Undirected,2
26748at7147,65772at7147,Undirected,73
26748at7147,765at7147,Undirected,6
26748at7147,60761at7147,Undirected,5
26748at7147,28318at7147,Undirected,35
58016at7147,19591at7147,Undirected,2
58016at7147,13402at7147,Undirected,1
58016at7147,66900at7147,Undirected,3
58016at7147,60271at7147,Undirected,1
58016at7147,41252at7147,Undirected,2
58016at7147,23557at7147,Undirected,1
58016at7147,71161at7147,Undirected,1
58016at7147,68750at7147,Undirected,1
58016at7147,7526at7147,Undirected,2
58016at7147,18521at7147,Undirected,44
58016at7147,20838at7147,Undirected,1
58016at7147,21803at7147,Undirected,7
58016at7147,19915at7147,Undirected,30
58016at7147,18389at7147,Undirected,1
58016at7147,30439at7147,Undirected,1
58016at7147,38256at7147,Undirected,32
58016at7147,62219at7147,Undirected,37
58016at7147,47977at7147,Undirected,3
57419at7147,63205at7147,Undirected,97
57419at7147,52836at7147,Undirected,2
57419at7147,36257at7147,Undirected,88
57419at7147,51210at7147,Undirected,6
57419at7147,39239at7147,Undirected,1
35419at7147,9671at7147,Undirected,1
35419at7147,29288at7147,Undirected,1
35419at7147,58370at7147,Undirected,2
35419at7147,3153at7147,Undirected,77
35419at7147,15924at7147,Undirected,77
35419at7147,30365at7147,Undirected,1
35419at7147,597at7147,Undirected,17
35419at7147,35954at7147,Undirected,2
35419at7147,16156at7147,Undirected,12
35419at7147,56661at7147,Undirected,1
35419at7147,33889at7147,Undirected,1
48067at7147,30343at7147,Undirected,2
48067at7147,46602at7147,Undirected,2
48067at7147,25234at7147,Undirected,90
48067at7147,4922at7147,Undirected,2
48067at7147,65709at7147,Undirected,7
48067at7147,7917at7147,Undirected,4
48067at7147,49833at7147,Undirected,82
48067at7147,64047at7147,Undirected,2
48067at7147,40867at7147,Undirected,9
39504at7147,976at7147,Undirected,1
39504at7147,66344at7147,Undirected,1
39504at7147,1190at7147,Undirected,65
39504at7147,10162at7147,Undirected,1
39504at7147,45349at7147,Undirected,8
39504at7147,10855at7147,Undirected,4
39504at7147,50356at7147,Undirected,83
39504at7147,17701at7147,Undirected,23
39504at7147,43053at7147,Undirected,8
30441at7147,47770at7147,Undirected,99
30441at7147,61047at7147,Undirected,1
30441at7147,40867at7147,Undirected,39
30441at7147,31693at7147,Undirected,53
30441at7147,11495at7147,Undirected,1
30441at7147,46001at7147,Undirected,1
30441at7147,4922at7147,Undirected,2
30441at7147,23440at7147,Undirected,2
52088at7147,59733at7147,Undirected,94
52088at7147,49836at7147,Undirected,21
52088at7147,69742at7147,Undirected,1
52088at7147,34658at7147,Undirected,73
52088at7147,58911at7147,Undirected,1
2789at7147,72200at7147,Undirected,1
2789at7147,5008at7147,Undirected,7
2789at7147,11593at7147,Undirected,99
2789at7147,13442at7147,Undirected,11
2789at7147,13206at7147,Undirected,80
13267at7147,32632at7147,Undirected,1
13267at7147,38651at7147,Undirected,1
13267at7147,60761at7147,Undirected,6
13267at7147,7309at7147,Undirected,27
13267at7147,46602at7147,Undirected,87
13267at7147,39249at7147,Undirected,1
13267at7147,16321at7147,Undirected,19
13267at7147,765at7147,Undirected,4
13267at7147,59883at7147,Undirected,1
13267at7147,67439at7147,Undirected,37
19377at7147,45724at7147,Undirected,1
19377at7147,38196at7147,Undirected,2
19377at7147,68312at7147,Undirected,1
19377at7147,8534at7147,Undirected,1
19377at7147,70491at7147,Undirected,2
19377at7147,37097at7147,Undirected,67
19377at7147,19859at7147,Undirected,1
19377at7147,14098at7147,Undirected,88
19377at7147,30000at7147,Undirected,1
19377at7147,14783at7147,Undirected,6
19377at7147,72973at7147,Undirected,1
19377at7147,3605at7147,Undirected,2
19377at7147,5100at7147,Undirected,9
19377at7147,13983at7147,Undirected,1
19377at7147,22343at7147,Undirected,1
19377at7147,14254at7147,Undirected,1
19377at7147,16001at7147,Undirected,2
19377at7147,39646at7147,Undirected,1
19377at7147,40121at7147,Undirected,2
19377at7147,49274at7147,Undirected,2
30711at7147,30439at7147,Undirected,2
30711at7147,43962at7147,Undirected,99
30711at7147,50361at7147,Undirected,14
30711at7147,6178at7147,Undirected,82
30711at7147,61593at7147,Undirected,1
17523at7147,7661at7147,Undirected,1
17523at7147,2687at7147,Undirected,82
17523at7147,37841at7147,Undirected,1
17523at7147,814at7147,Undirected,2
17523at7147,9202at7147,Undirected,1
17523at7147,24648at7147,Undirected,1
17523at7147,64239at7147,Undirected,1
17523at7147,51339at7147,Undirected,4
17523at7147,39987at7147,Undirected,1
17523at7147,43115at7147,Undirected,1
17523at7147,39100at7147,Undirected,1
17523at7147,9566at7147,Undirected,1
17523at7147,32752at7147,Undirected,40
17523at7147,38580at7147,Undirected,1
17523at7147,3500at7147,Undirected,43
17523at7147,66519at7147,Undirected,1
34516at7147,50923at7147,Undirected,1
34516at7147,57525at7147,Undirected,45
34516at7147,10687at7147,Undirected,90
34516at7147,53716at7147,Undirected,38
34516at7147,20952at7147,Undirected,2
34516at7147,23804at7147,Undirected,3
34516at7147,36896at7147,Undirected,1
34516at7147,40820at7147,Undirected,1
34516at7147,80at7147,Undirected,1
5553at7147,15511at7147,Undirected,96
5553at7147,35260at7147,Undirected,96
23816at7147,10672at7147,Undirected,1
23816at7147,36427at7147,Undirected,3
23816at7147,40519at7147,Undirected,1
23816at7147,23859at7147,Undirected,2
23816at7147,25602at7147,Undirected,1
23816at7147,8225at7147,Undirected,1
23816at7147,70365at7147,Undirected,1
23816at7147,18494at7147,Undirected,6
23816at7147,42845at7147,Undirected,10
23816at7147,1388at7147,Undirected,4
23816at7147,53285at7147,Undirected,44
23816at7147,40817at7147,Undirected,1
23816at7147,60441at7147,Undirected,2
23816at7147,37851at7147,Undirected,1
23816at7147,65916at7147,Undirected,1
23816at7147,40116at7147,Undirected,2
23816at7147,19314at7147,Undirected,1
23816at7147,11408at7147,Undirected,7
23816at7147,13402at7147,Undirected,1
23816at7147,73932at7147,Undirected,58
23816at7147,50634at7147,Undirected,4
56091at7147,51643at7147,Undirected,97
56091at7147,22554at7147,Undirected,1
56091at7147,12291at7147,Undirected,2
56091at7147,304at7147,Undirected,12
56091at7147,32478at7147,Undirected,1
56091at7147,45724at7147,Undirected,1
56091at7147,20167at7147,Undirected,5
56091at7147,34732at7147,Undirected,70
56091at7147,74162at7147,Undirected,1
56091at7147,10627at7147,Undirected,4
24775at7147,17199at7147,Undirected,66
24775at7147,30760at7147,Undirected,5
24775at7147,9655at7147,Undirected,1
24775at7147,68516at7147,Undirected,1
24775at7147,48743at7147,Undirected,1
24775at7147,46580at7147,Undirected,1
24775at7147,15841at7147,Undirected,1
24775at7147,37248at7147,Undirected,46
24775at7147,33254at7147,Undirected,11
24775at7147,45669at7147,Undirected,1
6635at7147,27427at7147,Undirected,2
6635at7147,22463at7147,Undirected,63
6635at7147,34561at7147,Undirected,4
6635at7147,14254at7147,Undirected,1
6635at7147,45554at7147,Undirected,21
6635at7147,16851at7147,Undirected,1
6635at7147,4924at7147,Undirected,86
6635at7147,2768at7147,Undirected,6
6635at7147,54719at7147,Undirected,1
6635at7147,28637at7147,Undirected,1
27575at7147,976at7147,Undirected,1
27575at7147,25194at7147,Undirected,52
27575at7147,70408at7147,Undirected,2
27575at7147,60064at7147,Undirected,6
27575at7147,14626at7147,Undirected,1
27575at7147,9844at7147,Undirected,42
27575at7147,18167at7147,Undirected,90
63685at7147,29352at7147,Undirected,37
63685at7147,66809at7147,Undirected,9
63685at7147,54524at7147,Undirected,12
63685at7147,17989at7147,Undirected,5
63685at7147,34806at7147,Undirected,27
63685at7147,48887at7147,Undirected,4
63685at7147,1846at7147,Undirected,1
63685at7147,61996at7147,Undirected,2
63685at7147,2383at7147,Undirected,60
63685at7147,45870at7147,Undirected,17
38422at7147,17902at7147,Undirected,94
38422at7147,52885at7147,Undirected,80
38422at7147,71155at7147,Undirected,1
38422at7147,20895at7147,Undirected,3
38422at7147,58205at7147,Undirected,3
38422at7147,71677at7147,Undirected,13
59649at7147,45268at7147,Undirected,4
59649at7147,6414at7147,Undirected,1
59649at7147,48155at7147,Undirected,5
59649at7147,66874at7147,Undirected,2
59649at7147,49015at7147,Undirected,8
59649at7147,77810at7147,Undirected,1
59649at7147,33638at7147,Undirected,1
59649at7147,41177at7147,Undirected,1
59649at7147,61651at7147,Undirected,32
59649at7147,22978at7147,Undirected,98
59649at7147,61996at7147,Undirected,3
59649at7147,24608at7147,Undirected,40
17175at7147,42599at7147,Undirected,3
17175at7147,11987at7147,Undirected,1
17175at7147,12809at7147,Undirected,95
17175at7147,55435at7147,Undirected,100
17175at7147,8522at7147,Undirected,1
13969at7147,70365at7147,Undirected,1
13969at7147,10625at7147,Undirected,1
