species,genome_size,contig_name,contig_rank,contig_size,contig_prop,contig_cumsum,contig_cumsum_prop
D.melanogaster,143726002,NW_001845077.1,1,5564,3.87125e-05,140507484,0.977607
D.melanogaster,143726002,NW_001845078.1,1,5555,3.86499e-05,140513039,0.977645
D.melanogaster,143726002,NW_001845079.1,1,5520,3.84064e-05,140518559,0.977684
D.melanogaster,143726002,NW_001845081.1,1,5465,3.80237e-05,140524024,0.977722
D.melanogaster,143726002,NW_001845082.1,1,5463,3.80098e-05,140529487,0.97776
D.melanogaster,143726002,NW_001845084.1,1,5387,3.7481e-05,140534874,0.977797
D.melanogaster,143726002,NW_001845085.1,1,5383,3.74532e-05,140540257,0.977835
D.melanogaster,143726002,NW_001845086.1,1,5360,3.72932e-05,140545617,0.977872
D.melanogaster,143726002,NW_001845087.1,1,5324,3.70427e-05,140550941,0.977909
D.melanogaster,143726002,NW_001845088.1,1,5323,3.70357e-05,140556264,0.977946
D.melanogaster,143726002,NW_001845089.1,1,5316,3.6987e-05,140561580,0.977983
D.melanogaster,143726002,NW_001845090.1,1,5281,3.67435e-05,140566861,0.97802
D.melanogaster,143726002,NW_001845092.1,1,5232,3.64026e-05,140572093,0.978056
D.melanogaster,143726002,NW_001845093.1,1,5189,3.61034e-05,140577282,0.978092
D.melanogaster,143726002,NW_001845094.1,1,5182,3.60547e-05,140582464,0.978128
D.melanogaster,143726002,NW_001845095.1,1,5098,3.54703e-05,140587562,0.978164
D.melanogaster,143726002,NW_001845096.1,1,5061,3.52128e-05,140592623,0.978199
D.melanogaster,143726002,NW_001845097.1,1,5060,3.52059e-05,140597683,0.978234
D.melanogaster,143726002,NW_001845098.1,1,5057,3.5185e-05,140602740,0.978269
D.melanogaster,143726002,NW_001845099.1,1,5026,3.49693e-05,140607766,0.978304
D.melanogaster,143726002,NW_001845100.1,1,5000,3.47884e-05,140612766,0.978339
D.melanogaster,143726002,NW_001845101.1,1,4996,3.47606e-05,140617762,0.978374
D.melanogaster,143726002,NW_001845102.1,1,4994,3.47467e-05,140622756,0.978409
D.melanogaster,143726002,NW_001845103.1,1,4986,3.4691e-05,140627742,0.978443
D.melanogaster,143726002,NW_001845104.1,1,4967,3.45588e-05,140632709,0.978478
D.melanogaster,143726002,NW_001845105.1,1,4939,3.4364e-05,140637648,0.978512
D.melanogaster,143726002,NW_001845106.1,1,4933,3.43223e-05,140642581,0.978547
D.melanogaster,143726002,NW_001845107.1,1,4917,3.42109e-05,140647498,0.978581
D.melanogaster,143726002,NW_001845108.1,1,4903,3.41135e-05,140652401,0.978615
D.melanogaster,143726002,NW_001845109.1,1,4888,3.40092e-05,140657289,0.978649
D.melanogaster,143726002,NW_001845110.1,1,4879,3.39465e-05,140662168,0.978683
D.melanogaster,143726002,NW_001845111.1,1,4865,3.38491e-05,140667033,0.978717
D.melanogaster,143726002,NW_001845113.1,1,4820,3.3536e-05,140671853,0.97875
D.melanogaster,143726002,NW_001845114.1,1,4815,3.35012e-05,140676668,0.978784
D.melanogaster,143726002,NW_001845117.1,1,4785,3.32925e-05,140681453,0.978817
D.melanogaster,143726002,NW_001845121.1,1,4705,3.27359e-05,140686158,0.97885
D.melanogaster,143726002,NW_001845122.1,1,4701,3.27081e-05,140690859,0.978882
D.melanogaster,143726002,NW_001845126.1,1,4608,3.2061e-05,140695467,0.978914
D.melanogaster,143726002,NW_001845128.1,1,4581,3.18731e-05,140700048,0.978946
D.melanogaster,143726002,NW_001845129.1,1,4573,3.18175e-05,140704621,0.978978
D.melanogaster,143726002,NW_001845130.1,1,4553,3.16783e-05,140709174,0.97901
D.melanogaster,143726002,NW_001845132.1,1,4515,3.14139e-05,140713689,0.979041
D.melanogaster,143726002,NW_001845133.1,1,4471,3.11078e-05,140718160,0.979072
D.melanogaster,143726002,NW_001845134.1,1,4465,3.10661e-05,140722625,0.979103
D.melanogaster,143726002,NW_001845135.1,1,4452,3.09756e-05,140727077,0.979134
D.melanogaster,143726002,NW_001845137.1,1,4436,3.08643e-05,140731513,0.979165
D.melanogaster,143726002,NW_001845138.1,1,4400,3.06138e-05,140735913,0.979196
D.melanogaster,143726002,NW_001845140.1,1,4395,3.0579e-05,140740308,0.979226
D.melanogaster,143726002,NW_001845142.1,1,4381,3.04816e-05,140744689,0.979257
D.melanogaster,143726002,NW_001845143.1,1,4378,3.04607e-05,140749067,0.979287
D.melanogaster,143726002,NW_001845144.1,1,4377,3.04538e-05,140753444,0.979318
D.melanogaster,143726002,NW_001845145.1,1,4370,3.04051e-05,140757814,0.979348
D.melanogaster,143726002,NW_001845147.1,1,4361,3.03425e-05,140762175,0.979379
D.melanogaster,143726002,NW_001845148.1,1,4336,3.01685e-05,140766511,0.979409
D.melanogaster,143726002,NW_001845151.1,1,4310,2.99876e-05,140770821,0.979439
D.melanogaster,143726002,NW_001845150.1,1,4310,2.99876e-05,140775131,0.979469
D.melanogaster,143726002,NW_001845152.1,1,4305,2.99528e-05,140779436,0.979499
D.melanogaster,143726002,NW_001845153.1,1,4295,2.98832e-05,140783731,0.979529
D.melanogaster,143726002,NW_001845154.1,1,4289,2.98415e-05,140788020,0.979558
D.melanogaster,143726002,NW_001845155.1,1,4273,2.97302e-05,140792293,0.979588
D.melanogaster,143726002,NW_001845156.1,1,4272,2.97232e-05,140796565,0.979618
D.melanogaster,143726002,NW_001845157.1,1,4256,2.96119e-05,140800821,0.979648
D.melanogaster,143726002,NW_001845159.1,1,4231,2.9438e-05,140805052,0.979677
D.melanogaster,143726002,NW_001845160.1,1,4225,2.93962e-05,140809277,0.979706
D.melanogaster,143726002,NW_001845162.1,1,4222,2.93753e-05,140813499,0.979736
D.melanogaster,143726002,NW_001845161.1,1,4222,2.93753e-05,140817721,0.979765
D.melanogaster,143726002,NW_001845163.1,1,4202,2.92362e-05,140821923,0.979794
D.melanogaster,143726002,NW_001845164.1,1,4197,2.92014e-05,140826120,0.979824
D.melanogaster,143726002,NW_001845165.1,1,4188,2.91388e-05,140830308,0.979853
D.melanogaster,143726002,NW_001845166.1,1,4183,2.9104e-05,140834491,0.979882
D.melanogaster,143726002,NW_001845167.1,1,4182,2.9097e-05,140838673,0.979911
D.melanogaster,143726002,NW_001845168.1,1,4163,2.89648e-05,140842836,0.97994
D.melanogaster,143726002,NW_001845169.1,1,4150,2.88744e-05,140846986,0.979969
D.melanogaster,143726002,NW_001845170.1,1,4135,2.877e-05,140851121,0.979997
D.melanogaster,143726002,NW_001845174.1,1,4085,2.84221e-05,140855206,0.980026
D.melanogaster,143726002,NW_001845175.1,1,4081,2.83943e-05,140859287,0.980054
D.melanogaster,143726002,NW_001845177.1,1,4072,2.83317e-05,140863359,0.980083
D.melanogaster,143726002,NW_001845178.1,1,4059,2.82412e-05,140867418,0.980111
D.melanogaster,143726002,NW_001845180.1,1,4030,2.80395e-05,140871448,0.980139
D.melanogaster,143726002,NW_001845181.1,1,4013,2.79212e-05,140875461,0.980167
D.melanogaster,143726002,NW_001845182.1,1,4012,2.79142e-05,140879473,0.980195
D.melanogaster,143726002,NW_001845184.1,1,4006,2.78725e-05,140883479,0.980223
D.melanogaster,143726002,NW_001845185.1,1,3991,2.77681e-05,140887470,0.98025
D.melanogaster,143726002,NW_001845186.1,1,3984,2.77194e-05,140891454,0.980278
D.melanogaster,143726002,NW_001845187.1,1,3970,2.7622e-05,140895424,0.980306
D.melanogaster,143726002,NW_001845188.1,1,3964,2.75803e-05,140899388,0.980333
D.melanogaster,143726002,NW_001845189.1,1,3960,2.75524e-05,140903348,0.980361
D.melanogaster,143726002,NW_001845190.1,1,3950,2.74828e-05,140907298,0.980388
D.melanogaster,143726002,NW_001845192.1,1,3941,2.74202e-05,140911239,0.980416
D.melanogaster,143726002,NW_001845193.1,1,3932,2.73576e-05,140915171,0.980443
D.melanogaster,143726002,NW_001845194.1,1,3926,2.73159e-05,140919097,0.98047
D.melanogaster,143726002,NW_001845195.1,1,3924,2.73019e-05,140923021,0.980498
D.melanogaster,143726002,NW_001845196.1,1,3921,2.72811e-05,140926942,0.980525
D.melanogaster,143726002,NW_001845198.1,1,3913,2.72254e-05,140930855,0.980552
D.melanogaster,143726002,NW_001845197.1,1,3913,2.72254e-05,140934768,0.980579
D.melanogaster,143726002,NW_001845199.1,1,3906,2.71767e-05,140938674,0.980607
D.melanogaster,143726002,NW_001845202.1,1,3871,2.69332e-05,140942545,0.980634
D.melanogaster,143726002,NW_001845203.1,1,3864,2.68845e-05,140946409,0.98066
D.melanogaster,143726002,NW_001845204.1,1,3858,2.68427e-05,140950267,0.980687
D.melanogaster,143726002,NW_001845207.1,1,3818,2.65644e-05,140954085,0.980714
D.melanogaster,143726002,NW_001845208.1,1,3807,2.64879e-05,140957892,0.98074
D.melanogaster,143726002,NW_001845210.1,1,3806,2.64809e-05,140961698,0.980767
D.melanogaster,143726002,NW_001845209.1,1,3806,2.64809e-05,140965504,0.980793
D.melanogaster,143726002,NW_001845212.1,1,3775,2.62653e-05,140969279,0.98082
D.melanogaster,143726002,NW_001845214.1,1,3755,2.61261e-05,140973034,0.980846
D.melanogaster,143726002,NW_001845215.1,1,3745,2.60565e-05,140976779,0.980872
D.melanogaster,143726002,NW_001845216.1,1,3737,2.60009e-05,140980516,0.980898
D.melanogaster,143726002,NW_001845217.1,1,3730,2.59522e-05,140984246,0.980924
D.melanogaster,143726002,NW_001845218.1,1,3717,2.58617e-05,140987963,0.98095
D.melanogaster,143726002,NW_001845219.1,1,3716,2.58548e-05,140991679,0.980975
D.melanogaster,143726002,NW_001845220.1,1,3713,2.58339e-05,140995392,0.981001
D.melanogaster,143726002,NW_001845222.1,1,3708,2.57991e-05,140999100,0.981027
D.melanogaster,143726002,NW_001845225.1,1,3681,2.56112e-05,141002781,0.981053
D.melanogaster,143726002,NW_001845226.1,1,3660,2.54651e-05,141006441,0.981078
D.melanogaster,143726002,NW_001845227.1,1,3650,2.53955e-05,141010091,0.981104
D.melanogaster,143726002,NW_001845228.1,1,3649,2.53886e-05,141013740,0.981129
D.melanogaster,143726002,NW_001845229.1,1,3648,2.53816e-05,141017388,0.981154
D.melanogaster,143726002,NW_001845230.1,1,3646,2.53677e-05,141021034,0.98118
D.melanogaster,143726002,NW_001845232.1,1,3638,2.53121e-05,141024672,0.981205
D.melanogaster,143726002,NW_001845234.1,1,3622,2.52007e-05,141028294,0.98123
D.melanogaster,143726002,NW_001845233.1,1,3622,2.52007e-05,141031916,0.981255
D.melanogaster,143726002,NW_001845236.1,1,3603,2.50685e-05,141035519,0.98128
D.melanogaster,143726002,NW_001845235.1,1,3603,2.50685e-05,141039122,0.981306
D.melanogaster,143726002,NW_001845237.1,1,3602,2.50616e-05,141042724,0.981331
D.melanogaster,143726002,NW_001845238.1,1,3593,2.4999e-05,141046317,0.981356
D.melanogaster,143726002,NW_001845239.1,1,3582,2.49224e-05,141049899,0.981381
D.melanogaster,143726002,NW_001845240.1,1,3574,2.48668e-05,141053473,0.981405
D.melanogaster,143726002,NW_001845242.1,1,3557,2.47485e-05,141057030,0.98143
D.melanogaster,143726002,NW_001845243.1,1,3554,2.47276e-05,141060584,0.981455
D.melanogaster,143726002,NW_001845246.1,1,3553,2.47206e-05,141064137,0.98148
D.melanogaster,143726002,NW_001845245.1,1,3553,2.47206e-05,141067690,0.981504
D.melanogaster,143726002,NW_001845244.1,1,3553,2.47206e-05,141071243,0.981529
D.melanogaster,143726002,NW_001845248.1,1,3537,2.46093e-05,141074780,0.981554
D.melanogaster,143726002,NW_001845250.1,1,3527,2.45397e-05,141078307,0.981578
D.melanogaster,143726002,NW_001845249.1,1,3527,2.45397e-05,141081834,0.981603
D.melanogaster,143726002,NW_001845252.1,1,3523,2.45119e-05,141085357,0.981627
D.melanogaster,143726002,NW_001845253.1,1,3519,2.44841e-05,141088876,0.981652
D.melanogaster,143726002,NW_001845254.1,1,3503,2.43728e-05,141092379,0.981676
D.melanogaster,143726002,NW_001845255.1,1,3502,2.43658e-05,141095881,0.9817
D.melanogaster,143726002,NW_001845256.1,1,3499,2.43449e-05,141099380,0.981725
D.melanogaster,143726002,NW_001845258.1,1,3498,2.4338e-05,141102878,0.981749
D.melanogaster,143726002,NW_001845259.1,1,3490,2.42823e-05,141106368,0.981773
D.melanogaster,143726002,NW_001845260.1,1,3478,2.41988e-05,141109846,0.981798
D.melanogaster,143726002,NW_001845261.1,1,3477,2.41919e-05,141113323,0.981822
D.melanogaster,143726002,NW_001845263.1,1,3473,2.4164e-05,141116796,0.981846
D.melanogaster,143726002,NW_001845264.1,1,3466,2.41153e-05,141120262,0.98187
D.melanogaster,143726002,NW_001845265.1,1,3463,2.40945e-05,141123725,0.981894
D.melanogaster,143726002,NW_001845266.1,1,3458,2.40597e-05,141127183,0.981918
D.melanogaster,143726002,NW_001845268.1,1,3434,2.38927e-05,141130617,0.981942
D.melanogaster,143726002,NW_001845271.1,1,3402,2.367e-05,141134019,0.981966
D.melanogaster,143726002,NW_001845272.1,1,3396,2.36283e-05,141137415,0.981989
D.melanogaster,143726002,NW_001845274.1,1,3389,2.35796e-05,141140804,0.982013
D.melanogaster,143726002,NW_001845275.1,1,3386,2.35587e-05,141144190,0.982037
D.melanogaster,143726002,NW_001845276.1,1,3375,2.34822e-05,141147565,0.98206
D.melanogaster,143726002,NW_001845277.1,1,3374,2.34752e-05,141150939,0.982084
D.melanogaster,143726002,NW_001845278.1,1,3373,2.34683e-05,141154312,0.982107
D.melanogaster,143726002,NW_001845281.1,1,3365,2.34126e-05,141157677,0.98213
D.melanogaster,143726002,NW_001845283.1,1,3348,2.32943e-05,141161025,0.982154
D.melanogaster,143726002,NW_001845284.1,1,3347,2.32874e-05,141164372,0.982177
D.melanogaster,143726002,NW_001845285.1,1,3341,2.32456e-05,141167713,0.9822
D.melanogaster,143726002,NW_001845287.1,1,3313,2.30508e-05,141171026,0.982223
D.melanogaster,143726002,NW_001845288.1,1,3308,2.3016e-05,141174334,0.982246
D.melanogaster,143726002,NW_001845289.1,1,3302,2.29743e-05,141177636,0.982269
D.melanogaster,143726002,NW_001845290.1,1,3299,2.29534e-05,141180935,0.982292
D.melanogaster,143726002,NW_001845291.1,1,3290,2.28908e-05,141184225,0.982315
D.melanogaster,143726002,NW_001845292.1,1,3284,2.2849e-05,141187509,0.982338
D.melanogaster,143726002,NW_001845293.1,1,3277,2.28003e-05,141190786,0.982361
D.melanogaster,143726002,NW_001845294.1,1,3275,2.27864e-05,141194061,0.982384
D.melanogaster,143726002,NW_001845295.1,1,3268,2.27377e-05,141197329,0.982406
D.melanogaster,143726002,NW_001845296.1,1,3262,2.2696e-05,141200591,0.982429
D.melanogaster,143726002,NW_001845299.1,1,3259,2.26751e-05,141203850,0.982452
D.melanogaster,143726002,NW_001845298.1,1,3259,2.26751e-05,141207109,0.982474
D.melanogaster,143726002,NW_001845301.1,1,3254,2.26403e-05,141210363,0.982497
D.melanogaster,143726002,NW_001845302.1,1,3252,2.26264e-05,141213615,0.98252
